Suspended_subscribers,Suspended_subscribers_missing,Suspended_subscribers_imputed_median,Suspended_subscribers_log1p,Suspended_subscribers_zscore,Suspended_subscribers_iqr_outlier,CHURN,churn_binary
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
1.0,0,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
1.0,0,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
1.0,0,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
1.0,0,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
1.0,0,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,Yes,1
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
1.0,0,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
1.0,0,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
1.0,0,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
,1,1.0,0.6931471805599453,-0.05723621519272081,0,No,0
